,ADM,BF-B,CAG,CCE,CHD,CL,CLX,COST,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MJN,MKC,MNST,MO,PEP,PG,PM,RAI,SJM,STZ,SYY,TAP,TSN,WBA,WFM,WMT
MDLZ,0.0488728673459,0.0702946592931,0.0468492259359,-0.0808880164779,0.052280816297,-0.107855427201,0.059366872124,0.027123927039,0.0800990528075,-0.0597038651846,-0.0859703881362,0.00164998585457,0.0336156810934,-0.158819089579,0.00108803273822,0.058995296804,-0.0296377827042,-0.0206488340718,-0.101587810643,-0.0491585431242,1.0,-0.118086000517,0.00505199815305,0.0253305848475,0.0234975951548,-0.0757149728739,-0.0650264571946,0.0123217771817,-0.00208084946307,0.00798189313258,-0.0181509886277,0.323067629355,0.0236119522681,-0.0458318723695,0.0375409713804,0.0306138118966,0.0435939965409
MJN,-0.0135427865007,-0.0666530745371,0.0725959767342,-0.0294114198262,0.00287694136615,0.142994445736,-0.0597624271859,0.0352043225471,0.117110405407,-0.0491655642565,0.163441730488,0.0075653314687,0.082367643814,-0.0233778266313,-0.0756579064014,-0.156780865123,0.2167807224,-0.0673601109368,-0.0471297363493,-0.0604883293072,-0.118086000517,1.0,-0.0290428767542,-0.0136354694635,0.0503900646934,-0.0320680022701,-0.0289103115542,0.0680466066007,-0.0117009260532,-0.0290836989284,-0.0215734237324,-0.0832516948619,0.0115828336508,0.04644503349,-0.189743967588,-0.0403027217666,0.00980018528535
MKC,-0.0147168347345,-0.00325177028232,-0.00627889938092,-0.0936081939371,-0.0911498772391,0.072370008261,-0.00305822878609,0.0192639181244,0.0345213292737,-0.0115508461793,0.0198174590434,-0.0440636752109,-0.0121716465864,0.00931043586745,0.037634163713,-0.0361151604247,0.0548966983606,0.060818744352,-0.0268303825875,0.0255956883152,0.00505199815305,-0.0290428767542,1.0,0.0717681202241,0.102234446603,-0.0540457233414,0.143384323135,-0.00276279381976,-0.00230535473272,-0.00197945430854,-0.028642529684,0.092148222448,-0.019313784543,0.0183634735718,0.00909578393789,-0.00161688466451,-0.0378156180321
MNST,-0.0245541950083,0.00771384924017,0.00241750066276,0.005832280203,-0.0407091848832,0.0256668485158,0.00905645895462,0.00628044625272,0.00983459950158,0.00653399452376,0.0258570890978,-0.119205610742,-0.00577752436669,0.0390648332508,0.0102172843161,-0.00872569015037,0.0191646143507,0.0066160160834,-0.110046321266,-0.00980349400594,0.0253305848475,-0.0136354694635,0.0717681202241,1.0,0.0117531311924,-1.94036644619e-05,0.171008547936,-0.0101547579584,-0.0310177674603,0.046378638118,-0.052976854731,0.146071346368,-0.0093049922957,-0.0414851863564,-0.00850131220874,0.033757512286,0.0170548042893
MO,0.0220287072254,0.00547957422022,0.0548491789288,0.0146466386879,-0.00981385028178,-0.087774213477,0.0302796960419,0.0295892519651,0.0511025373593,0.0042315496963,-0.0114005199801,-0.0132552434678,0.0182737001328,0.0812875691945,0.013109055043,-0.00617988199487,0.0767692993817,0.0312349165133,-0.0132551957029,0.00732850803619,0.0234975951548,0.0503900646934,0.102234446603,0.0117531311924,1.0,-0.0860757311669,0.0171171514865,0.043694876574,-0.0024715982723,0.0193900854193,0.0106535471973,0.0695586985386,0.0208552798384,-0.0282970088145,-0.113350376464,0.0526985252459,-0.0864178808428
PEP,-0.0285767683061,0.0455431176383,0.0471914338507,0.00231662656608,0.031580141518,0.0894295070209,-0.0159793927347,0.0224182714101,0.016231893401,0.0682175338033,0.044077385592,-0.00170382617417,-0.0226501891451,0.0628872596211,0.108835581776,0.00548245759783,0.0452757364728,0.0295155880311,-0.0174057821941,0.00608669591191,-0.0757149728739,-0.0320680022701,-0.0540457233414,-1.94036644619e-05,-0.0860757311669,1.0,0.0619690493034,-0.0147324999454,0.00483801644276,0.0656242467196,0.0154501245177,-0.0968103711387,-0.0259875693297,0.0268860110971,0.00524398317565,0.237462287088,0.0295600993748
PG,0.0537378264107,-0.0287173037418,-0.0678197986216,0.0616464657502,-0.0202681164845,0.0251076098143,-0.172470316594,0.0182997921627,0.0222614808883,-0.0547367651533,-0.00104355324011,0.0900524393215,0.155684388502,-0.0405941710997,-0.0111413495709,-0.0811850885506,0.0274248876277,0.0607570244449,-0.00494887737549,0.00399376359189,-0.0650264571946,-0.0289103115542,0.143384323135,0.171008547936,0.0171171514865,0.0619690493034,1.0,0.158777481801,0.000715999468004,0.0466181727657,0.0250507555882,0.0207289507099,-0.00578091529222,-0.0247927799685,0.159771658774,-0.0195524366229,0.0793176326236
PM,-0.104487844761,0.00728132076682,0.0985051092431,-0.00800696363911,0.00899559200811,0.0873715106161,-0.125823570533,0.0296352643865,0.0647669907621,0.173685454944,0.0468974672009,0.0372307668146,-0.0226652984707,0.0140113110835,0.0443239811028,0.100454744601,-0.0512323332278,-0.0172456564906,0.169915316204,0.0244035253475,0.0123217771817,0.0680466066007,-0.00276279381976,-0.0101547579584,0.043694876574,-0.0147324999454,0.158777481801,1.0,-0.0418770265426,0.0630335412768,0.0245145186163,0.0224187070762,-0.0417044455504,0.00248567964462,-0.067241989411,0.257340950276,0.051572062888
RAI,-0.0397394446036,-0.0270847364397,0.0675070542409,-0.0109530905966,-0.0222416298636,-0.0221458472056,-0.0220632224923,-0.0395224858396,0.0211420958955,0.00333529186675,-0.0600754647788,-0.127400494443,-0.0418408700525,-0.0256685092065,-0.0349041721741,0.0592890968764,0.0272996433301,-0.00023389755292,0.0300180621821,0.000632794419788,-0.00208084946307,-0.0117009260532,-0.00230535473272,-0.0310177674603,-0.0024715982723,0.00483801644276,0.000715999468004,-0.0418770265426,1.0,0.0166345155621,-0.0286613080388,-0.00174321356228,0.00115612893589,-0.0585982533311,-0.252969964117,-0.0176209555829,0.00904168748384
SJM,0.0328991599436,0.210340160444,0.101234695007,-0.0850046442139,0.347364057615,0.124603108067,-0.114179340252,0.0641210008352,0.0138392030838,0.0493889765189,0.0214665021951,0.206965019186,-0.00611819145102,-0.045308795231,0.102397097751,-0.0190448587734,-0.0558805157945,0.0916736683335,0.0892060888549,0.0175350483209,0.00798189313258,-0.0290836989284,-0.00197945430854,0.046378638118,0.0193900854193,0.0656242467196,0.0466181727657,0.0630335412768,0.0166345155621,1.0,0.0369985692678,-0.0421735008242,0.0885643411494,0.020738737767,0.0690745467534,0.0512696961674,0.002563111289
STZ,-0.0452763760649,0.0118158804155,0.123355839422,-0.0510507067448,-0.0047294355842,0.0118438765868,-0.0983740273063,-0.0553147574893,0.0032756117966,-9.13529263877e-06,-0.0242648397258,0.0100130534212,-0.155521901813,0.0517847623895,-0.00448216567124,-0.0213598245325,0.00356135118964,-0.00550829679454,0.0610718258216,0.0189896229586,-0.0181509886277,-0.0215734237324,-0.028642529684,-0.052976854731,0.0106535471973,0.0154501245177,0.0250507555882,0.0245145186163,-0.0286613080388,0.0369985692678,1.0,0.0101277336681,0.0427708158915,0.0129511315055,0.0140006683594,-0.00822029535316,-0.00534352521654
SYY,0.0271010919629,0.0020688922552,0.0391682943957,-0.136021770709,-0.065055959946,0.0503588046176,0.0409001126304,0.0113432584701,0.0959019803846,-0.027750997941,0.00989581315993,-0.0523495220834,-0.0262039517073,-0.055850928025,0.0325509220968,0.0613198235889,-0.0209258008246,0.0939615087782,-0.0803409750014,0.0297237009781,0.323067629355,-0.0832516948619,0.092148222448,0.146071346368,0.0695586985386,-0.0968103711387,0.0207289507099,0.0224187070762,-0.00174321356228,-0.0421735008242,0.0101277336681,1.0,-0.0328934281752,0.0275092544861,0.0192949317795,0.0374260958829,0.0484478669754
TAP,-0.0195796563635,0.0199580521695,-0.0183663467163,-0.0203567692798,0.0757235704164,-0.0914783972265,0.0128240162781,0.00294919046096,-0.176261345918,-0.0281477578505,0.0216177650699,0.0194070782281,0.00141360242928,-0.00844197448116,0.0116455899965,-0.0174741860054,0.0187300268203,-0.0201461279997,-0.0224256643797,-0.0187194706132,0.0236119522681,0.0115828336508,-0.019313784543,-0.0093049922957,0.0208552798384,-0.0259875693297,-0.00578091529222,-0.0417044455504,0.00115612893589,0.0885643411494,0.0427708158915,-0.0328934281752,1.0,0.0076108829606,-0.00684152783019,0.0290811403337,-0.0187328740585
TSN,-0.0429658043623,0.0266267507228,-0.0483531821423,-0.150734866984,0.018939769618,0.0965075974631,0.0141803851074,-0.000231613182511,0.0661057306122,-0.0406895020138,0.155253001894,0.0423848519406,-0.0241445227524,0.00918661121158,-0.00471794691383,0.0106964045354,0.148880111308,0.00419831672002,0.0234086241941,-0.0252487914712,-0.0458318723695,0.04644503349,0.0183634735718,-0.0414851863564,-0.0282970088145,0.0268860110971,-0.0247927799685,0.00248567964462,-0.0585982533311,0.020738737767,0.0129511315055,0.0275092544861,0.0076108829606,1.0,0.0386856906216,-0.0813775983984,0.0211688254831
WBA,0.0242142489006,0.0480729953775,0.0369091360563,-0.0334017161275,0.014657980084,0.0449252784518,0.00129647514796,-0.00243383782503,-0.00221453769038,-0.0265838829243,0.0832381973894,0.04076935687,-0.00831891950049,-0.0392976328121,0.0708873664911,0.00216789628681,-0.0519676750044,-0.00888070370427,0.0111930528991,0.0106890239842,0.0375409713804,-0.189743967588,0.00909578393789,-0.00850131220874,-0.113350376464,0.00524398317565,0.159771658774,-0.067241989411,-0.252969964117,0.0690745467534,0.0140006683594,0.0192949317795,-0.00684152783019,0.0386856906216,1.0,0.0266341711832,0.0238660539507
WFM,-0.0724560242498,0.074959509804,0.135352070686,-0.0113000265458,0.0238433863929,0.0226076897086,0.0119466480622,0.0284938759759,-0.00296022624795,0.116169923773,0.0277372625925,0.0831035112202,-0.0366076806991,-0.00405243985365,0.0346998308615,0.0559847567631,-0.0250274038472,-0.0400215315237,-0.0139349206428,-0.0229046252711,0.0306138118966,-0.0403027217666,-0.00161688466451,0.033757512286,0.0526985252459,0.237462287088,-0.0195524366229,0.257340950276,-0.0176209555829,0.0512696961674,-0.00822029535316,0.0374260958829,0.0290811403337,-0.0813775983984,0.0266341711832,1.0,0.021056521928
WMT,0.00409336345187,-0.0475822973678,-0.0423950358389,-0.0490635414609,-0.103366470714,0.0256082268978,0.0405990682377,0.0436951632118,0.0964137342925,0.0065259238858,0.0273235261699,0.0308783708946,-0.0126448161142,-0.218653558878,0.015754015093,0.0135477391323,0.0534147576129,-0.0179087473311,0.0344896447792,-0.0136660747733,0.0435939965409,0.00980018528535,-0.0378156180321,0.0170548042893,-0.0864178808428,0.0295600993748,0.0793176326236,0.051572062888,0.00904168748384,0.002563111289,-0.00534352521654,0.0484478669754,-0.0187328740585,0.0211688254831,0.0238660539507,0.021056521928,1.0
